Year,NOC,Sex,Sport,Bronze,Gold,Silver,participates
2008,CAN,F,Athletics,1,0,0,11
2012,CAN,F,Athletics,0,0,0,19
2016,CAN,F,Athletics,1,0,0,34
2020,CAN,F,Athletics,0,0,0,33
2024,CAN,F,Athletics,1,1,0,27
1992,CAN,F,Badminton,0,0,0,2
1996,CAN,F,Badminton,0,0,0,3
2000,CAN,F,Badminton,0,0,0,3
2004,CAN,F,Badminton,0,0,0,5
2008,CAN,F,Badminton,0,0,0,2
2012,CAN,F,Badminton,0,0,0,3
2016,CAN,F,Badminton,0,0,0,1
2020,CAN,F,Badminton,0,0,0,4
2024,CAN,F,Badminton,0,0,0,1
2020,CAN,F,Baseball,1,0,0,15
1976,CAN,F,Basketball,0,0,0,12
1984,CAN,F,Basketball,0,0,0,12
1996,CAN,F,Basketball,0,0,0,12
2000,CAN,F,Basketball,0,0,0,12
2012,CAN,F,Basketball,0,0,0,12
2016,CAN,F,Basketball,0,0,0,12
2020,CAN,F,Basketball,0,0,0,12
2024,CAN,F,Basketball,0,0,0,16
2012,CAN,F,Boxing,0,0,0,1
2016,CAN,F,Boxing,0,0,0,2
2020,CAN,F,Boxing,0,0,0,4
2024,CAN,F,Boxing,0,0,0,1
1968,CAN,F,Canoeing,0,0,0,3
1972,CAN,F,Canoeing,0,0,0,2
1976,CAN,F,Canoeing,0,0,0,2
1984,CAN,F,Canoeing,1,0,1,4
1988,CAN,F,Canoeing,0,0,0,4
1992,CAN,F,Canoeing,0,0,0,7
1996,CAN,F,Canoeing,0,0,1,7
2000,CAN,F,Canoeing,0,0,1,7
2004,CAN,F,Canoeing,1,0,0,7
2008,CAN,F,Canoeing,0,0,0,6
2012,CAN,F,Canoeing,0,0,0,1
2016,CAN,F,Canoeing,0,0,0,4
2020,CAN,F,Canoeing,1,0,1,8
2024,CAN,F,Canoeing,1,1,0,9
1984,CAN,F,Cycling,0,0,0,3
1988,CAN,F,Cycling,0,0,0,4
1992,CAN,F,Cycling,0,0,0,4
1996,CAN,F,Cycling,2,0,1,6
2000,CAN,F,Cycling,0,0,0,8
2004,CAN,F,Cycling,0,1,1,7
2008,CAN,F,Cycling,0,0,0,7
2012,CAN,F,Cycling,1,0,0,9
2016,CAN,F,Cycling,2,0,0,12
2020,CAN,F,Cycling,1,1,0,14
2024,CAN,F,Cycling,0,0,0,13
1932,CAN,F,Diving,0,0,0,1
1936,CAN,F,Diving,0,0,0,2
1956,CAN,F,Diving,1,0,0,1
1960,CAN,F,Diving,0,0,0,1
1964,CAN,F,Diving,0,0,0,2
1968,CAN,F,Diving,0,0,0,2
1972,CAN,F,Diving,0,0,0,5
1976,CAN,F,Diving,0,0,0,5
1984,CAN,F,Diving,0,1,0,3
1988,CAN,F,Diving,0,0,0,3
1992,CAN,F,Diving,0,0,0,4
1996,CAN,F,Diving,1,0,0,4
2000,CAN,F,Diving,1,0,1,4
2004,CAN,F,Diving,1,0,0,3
2008,CAN,F,Diving,0,0,1,6
2012,CAN,F,Diving,2,0,0,4
2016,CAN,F,Diving,2,0,0,4
2020,CAN,F,Diving,0,0,1,6
2024,CAN,F,Diving,0,0,0,3
1964,CAN,F,Equestrianism,0,0,0,2
1968,CAN,F,Equestrianism,0,0,0,2
1972,CAN,F,Equestrianism,0,0,0,4
1976,CAN,F,Equestrianism,0,0,0,5
1984,CAN,F,Equestrianism,0,0,0,7
1988,CAN,F,Equestrianism,1,0,0,7
1992,CAN,F,Equestrianism,0,0,0,6
1996,CAN,F,Equestrianism,0,0,0,7
2000,CAN,F,Equestrianism,0,0,0,1
2004,CAN,F,Equestrianism,0,0,0,5
2008,CAN,F,Equestrianism,0,0,0,7
2012,CAN,F,Equestrianism,0,0,0,8
2016,CAN,F,Equestrianism,0,0,0,8
2020,CAN,F,Equestrianism,0,0,0,5
2024,CAN,F,Equestrianism,0,0,0,8
1932,CAN,F,Fencing,0,0,0,1
1936,CAN,F,Fencing,0,0,0,3
1948,CAN,F,Fencing,0,0,0,2
1964,CAN,F,Fencing,0,0,0,1
1968,CAN,F,Fencing,0,0,0,1
1972,CAN,F,Fencing,0,0,0,1
1976,CAN,F,Fencing,0,0,0,4
1984,CAN,F,Fencing,0,0,0,5
1988,CAN,F,Fencing,0,0,0,5
1992,CAN,F,Fencing,0,0,0,5
2000,CAN,F,Fencing,0,0,0,3
2004,CAN,F,Fencing,0,0,0,4
2008,CAN,F,Fencing,0,0,0,6
2012,CAN,F,Fencing,0,0,0,3
2016,CAN,F,Fencing,0,0,0,2
2020,CAN,F,Fencing,0,0,0,5
2024,CAN,F,Fencing,1,0,0,6
2008,CAN,F,Football,0,0,0,18
2012,CAN,F,Football,1,0,0,18
2016,CAN,F,Football,1,0,0,18
2020,CAN,F,Football,0,1,0,22
2024,CAN,F,Football,0,0,0,19
2016,CAN,F,Golf,0,0,0,2
2020,CAN,F,Golf,0,0,0,2
2024,CAN,F,Golf,0,0,0,2
1956,CAN,F,Gymnastics,0,0,0,1
1960,CAN,F,Gymnastics,0,0,0,2
1964,CAN,F,Gymnastics,0,0,0,1
1968,CAN,F,Gymnastics,0,0,0,5
1972,CAN,F,Gymnastics,0,0,0,6
1976,CAN,F,Gymnastics,0,0,0,6
1984,CAN,F,Gymnastics,0,1,0,8
1988,CAN,F,Gymnastics,0,0,0,8
1992,CAN,F,Gymnastics,0,0,0,8
1996,CAN,F,Gymnastics,0,0,0,4
2000,CAN,F,Gymnastics,1,0,0,8
2004,CAN,F,Gymnastics,0,0,1,8
2008,CAN,F,Gymnastics,0,0,1,5
2012,CAN,F,Gymnastics,0,1,0,13
2016,CAN,F,Gymnastics,0,1,0,6
2020,CAN,F,Gymnastics,0,0,0,6
2024,CAN,F,Gymnastics,1,0,0,6
1976,CAN,F,Handball,0,0,0,14
1984,CAN,F,Hockey,0,0,0,16
1988,CAN,F,Hockey,0,0,0,14
1992,CAN,F,Hockey,0,0,0,15
1992,CAN,F,Judo,0,0,0,7
1996,CAN,F,Judo,0,0,0,6
2000,CAN,F,Judo,0,0,0,4
2004,CAN,F,Judo,0,0,0,4
2008,CAN,F,Judo,0,0,0,1
2012,CAN,F,Judo,0,0,0,3
2016,CAN,F,Judo,0,0,0,3
2020,CAN,F,Judo,2,0,0,3
2024,CAN,F,Judo,0,1,0,4
2004,CAN,F,Modern Pentathlon,0,0,0,2
2008,CAN,F,Modern Pentathlon,0,0,0,2
2012,CAN,F,Modern Pentathlon,0,0,0,2
2016,CAN,F,Modern Pentathlon,0,0,0,2
1976,CAN,F,Rowing,0,0,0,24
1984,CAN,F,Rowing,1,0,2,24
1988,CAN,F,Rowing,0,0,0,10
1992,CAN,F,Rowing,1,3,0,10
1996,CAN,F,Rowing,1,1,2,16
2000,CAN,F,Rowing,1,0,0,12
2004,CAN,F,Rowing,0,0,0,13
2008,CAN,F,Rowing,1,0,0,17
2012,CAN,F,Rowing,0,0,1,11
2016,CAN,F,Rowing,0,0,1,14
2020,CAN,F,Rowing,1,1,0,20
2024,CAN,F,Rowing,0,0,1,11
2016,CAN,F,Rugby,1,0,0,12
2020,CAN,F,Rugby,0,0,0,13
2024,CAN,F,Rugby,0,0,1,14
1988,CAN,F,Sailing,0,0,0,2
1992,CAN,F,Sailing,0,0,0,4
1996,CAN,F,Sailing,0,0,0,5
2000,CAN,F,Sailing,0,0,0,2
2004,CAN,F,Sailing,0,0,0,5
2008,CAN,F,Sailing,0,0,0,5
2012,CAN,F,Sailing,0,0,0,2
2016,CAN,F,Sailing,0,0,0,4
2020,CAN,F,Sailing,0,0,0,4
2024,CAN,F,Sailing,0,0,0,4
1976,CAN,F,Shooting,0,0,0,1
1984,CAN,F,Shooting,0,1,0,4
1988,CAN,F,Shooting,0,0,0,3
1992,CAN,F,Shooting,0,0,0,4
1996,CAN,F,Shooting,0,0,0,1
2000,CAN,F,Shooting,0,0,0,5
2004,CAN,F,Shooting,0,0,0,2
2008,CAN,F,Shooting,0,0,0,2
2012,CAN,F,Shooting,0,0,0,1
2016,CAN,F,Shooting,0,0,0,2
2020,CAN,F,Shooting,0,0,0,1
2024,CAN,F,Shooting,0,0,0,1
2020,CAN,F,Skateboarding,0,0,0,1
2024,CAN,F,Skateboarding,0,0,0,1
1996,CAN,F,Softball,0,0,0,15
2000,CAN,F,Softball,0,0,0,15
2004,CAN,F,Softball,0,0,0,15
2008,CAN,F,Softball,0,0,0,15
2020,CAN,F,Sport Climbing,0,0,0,1
2024,CAN,F,Surfing,0,0,0,1
1928,CAN,F,Swimming,0,0,0,1
1932,CAN,F,Swimming,0,0,0,7
1936,CAN,F,Swimming,0,0,0,6
1948,CAN,F,Swimming,0,0,0,4
1952,CAN,F,Swimming,0,0,0,4
1956,CAN,F,Swimming,0,0,0,6
1960,CAN,F,Swimming,0,0,0,4
1964,CAN,F,Swimming,0,0,0,8
1968,CAN,F,Swimming,1,0,2,6
1972,CAN,F,Swimming,1,0,1,20
1976,CAN,F,Swimming,6,0,1,18
1984,CAN,F,Swimming,1,1,1,18
1988,CAN,F,Swimming,1,0,0,12
1992,CAN,F,Swimming,0,0,0,13
1996,CAN,F,Swimming,0,0,1,19
2000,CAN,F,Swimming,0,0,0,14
2004,CAN,F,Swimming,0,0,0,6
2008,CAN,F,Swimming,0,0,0,12
2012,CAN,F,Swimming,0,0,0,19
2016,CAN,F,Swimming,4,1,1,20
2020,CAN,F,Swimming,2,1,3,16
2024,CAN,F,Swimming,1,3,1,17
1984,CAN,F,Synchronized Swimming,0,0,2,3
1988,CAN,F,Synchronized Swimming,0,2,0,3
1992,CAN,F,Synchronized Swimming,0,1,1,3
1996,CAN,F,Synchronized Swimming,0,0,1,9
2000,CAN,F,Synchronized Swimming,1,0,0,8
2004,CAN,F,Synchronized Swimming,0,0,0,8
2008,CAN,F,Synchronized Swimming,0,0,0,9
2012,CAN,F,Synchronized Swimming,0,0,0,9
2016,CAN,F,Synchronized Swimming,0,0,0,2
2020,CAN,F,Synchronized Swimming,0,0,0,8
2024,CAN,F,Synchronized Swimming,0,0,0,9
1988,CAN,F,Table Tennis,0,0,0,1
1992,CAN,F,Table Tennis,0,0,0,1
1996,CAN,F,Table Tennis,0,0,0,3
2000,CAN,F,Table Tennis,0,0,0,4
2004,CAN,F,Table Tennis,0,0,0,2
2008,CAN,F,Table Tennis,0,0,0,2
2012,CAN,F,Table Tennis,0,0,0,1
2016,CAN,F,Table Tennis,0,0,0,1
2020,CAN,F,Table Tennis,0,0,0,1
2024,CAN,F,Table Tennis,0,0,0,1
2000,CAN,F,Taekwondo,1,0,0,1
2004,CAN,F,Taekwondo,0,0,0,2
2008,CAN,F,Taekwondo,0,0,1,2
2012,CAN,F,Taekwondo,0,0,0,1
2016,CAN,F,Taekwondo,0,0,0,1
2020,CAN,F,Taekwondo,0,0,0,2
2024,CAN,F,Taekwondo,1,0,0,2
1988,CAN,F,Tennis,0,0,0,3
1992,CAN,F,Tennis,0,0,0,2
1996,CAN,F,Tennis,0,0,0,3
2000,CAN,F,Tennis,0,0,0,2
2012,CAN,F,Tennis,0,0,0,2
2016,CAN,F,Tennis,0,0,0,2
2020,CAN,F,Tennis,0,0,0,3
2024,CAN,F,Tennis,1,0,0,3
2000,CAN,F,Triathlon,0,0,0,3
2004,CAN,F,Triathlon,0,0,0,3
2008,CAN,F,Triathlon,0,0,0,3
2012,CAN,F,Triathlon,0,0,0,2
2016,CAN,F,Triathlon,0,0,0,3
2020,CAN,F,Triathlon,0,0,0,2
2024,CAN,F,Triathlon,0,0,0,1
1976,CAN,F,Volleyball,0,0,0,12
1984,CAN,F,Volleyball,0,0,0,12
1996,CAN,F,Volleyball,0,0,0,14
2004,CAN,F,Volleyball,0,0,0,2
2012,CAN,F,Volleyball,0,0,0,2
2016,CAN,F,Volleyball,0,0,0,4
2020,CAN,F,Volleyball,0,0,0,4
2024,CAN,F,Volleyball,0,0,1,4
2000,CAN,F,Water Polo,0,0,0,13
2004,CAN,F,Water Polo,0,0,0,13
2020,CAN,F,Water Polo,0,0,0,13
2024,CAN,F,Water Polo,0,0,0,13
2000,CAN,F,Weightlifting,0,0,0,1
2004,CAN,F,Weightlifting,0,0,0,1
2008,CAN,F,Weightlifting,0,0,0,3
2012,CAN,F,Weightlifting,1,0,0,3
2016,CAN,F,Weightlifting,0,0,0,1
2020,CAN,F,Weightlifting,0,1,0,4
2024,CAN,F,Weightlifting,0,0,1,1
2004,CAN,F,Wrestling,0,0,1,4
2008,CAN,F,Wrestling,1,1,0,4
2012,CAN,F,Wrestling,1,0,1,4
2016,CAN,F,Wrestling,0,1,0,6
2020,CAN,F,Wrestling,0,0,0,2
2024,CAN,F,Wrestling,0,0,0,4
1972,CAN,M,Archery,0,0,0,3
1976,CAN,M,Archery,0,0,0,2
1988,CAN,M,Archery,0,0,0,3
1992,CAN,M,Archery,0,0,0,3
1996,CAN,M,Archery,0,0,0,3
2000,CAN,M,Archery,0,0,0,1
2004,CAN,M,Archery,0,0,0,1
2008,CAN,M,Archery,0,0,0,3
2012,CAN,M,Archery,0,0,0,1
2016,CAN,M,Archery,0,0,0,1
2020,CAN,M,Archery,0,0,0,1
2024,CAN,M,Archery,0,0,0,1
1912,CAN,M,Art Competitions,0,0,0,1
1928,CAN,M,Art Competitions,0,0,0,1
1932,CAN,M,Art Competitions,1,0,0,2
1936,CAN,M,Art Competitions,0,0,0,1
1948,CAN,M,Art Competitions,0,0,1,17
1900,CAN,M,Athletics,1,1,0,4
1904,CAN,M,Athletics,0,1,0,6
1908,CAN,M,Athletics,4,1,1,27
1912,CAN,M,Athletics,2,1,2,18
1920,CAN,M,Athletics,0,1,0,14
1924,CAN,M,Athletics,0,0,0,27
1928,CAN,M,Athletics,1,2,1,26
1932,CAN,M,Athletics,4,1,1,21
1936,CAN,M,Athletics,1,0,1,21
1948,CAN,M,Athletics,0,0,0,18
1952,CAN,M,Athletics,0,0,0,16
1956,CAN,M,Athletics,0,0,0,11
1960,CAN,M,Athletics,0,0,0,12
1964,CAN,M,Athletics,1,0,1,9
1968,CAN,M,Athletics,0,0,0,19
1972,CAN,M,Athletics,0,0,0,23
1976,CAN,M,Athletics,0,0,1,36
1984,CAN,M,Athletics,2,0,0,32
1988,CAN,M,Athletics,1,0,0,38
1992,CAN,M,Athletics,0,1,1,27
1996,CAN,M,Athletics,0,2,0,22
2000,CAN,M,Athletics,0,0,0,22
2004,CAN,M,Athletics,0,0,0,11
2008,CAN,M,Athletics,1,0,0,18
2012,CAN,M,Athletics,1,0,0,23
2016,CAN,M,Athletics,3,1,1,27
2020,CAN,M,Athletics,3,2,1,24
2024,CAN,M,Athletics,0,2,1,23
1992,CAN,M,Badminton,0,0,0,4
1996,CAN,M,Badminton,0,0,0,4
2000,CAN,M,Badminton,0,0,0,3
2004,CAN,M,Badminton,0,0,0,2
2008,CAN,M,Badminton,0,0,0,2
2012,CAN,M,Badminton,0,0,0,1
2016,CAN,M,Badminton,0,0,0,1
2020,CAN,M,Badminton,0,0,0,4
2024,CAN,M,Badminton,0,0,0,3
2004,CAN,M,Baseball,0,0,0,24
2008,CAN,M,Baseball,0,0,0,24
1936,CAN,M,Basketball,0,0,1,9
1948,CAN,M,Basketball,0,0,0,14
1952,CAN,M,Basketball,0,0,0,12
1956,CAN,M,Basketball,0,0,0,12
1964,CAN,M,Basketball,0,0,0,11
1976,CAN,M,Basketball,0,0,0,12
1984,CAN,M,Basketball,0,0,0,12
1988,CAN,M,Basketball,0,0,0,12
2000,CAN,M,Basketball,0,0,0,12
2024,CAN,M,Basketball,0,0,0,12
1920,CAN,M,Boxing,2,1,2,8
1924,CAN,M,Boxing,1,0,0,9
1928,CAN,M,Boxing,1,0,0,7
1932,CAN,M,Boxing,0,1,0,7
1936,CAN,M,Boxing,0,0,0,4
1948,CAN,M,Boxing,0,0,0,7
1952,CAN,M,Boxing,0,0,0,7
1956,CAN,M,Boxing,0,0,0,6
1960,CAN,M,Boxing,0,0,0,4
1964,CAN,M,Boxing,0,0,0,4
1968,CAN,M,Boxing,0,0,0,4
1972,CAN,M,Boxing,0,0,0,5
1976,CAN,M,Boxing,0,0,0,9
1984,CAN,M,Boxing,1,0,2,10
1988,CAN,M,Boxing,1,1,1,10
1992,CAN,M,Boxing,1,0,1,10
1996,CAN,M,Boxing,0,0,1,11
2000,CAN,M,Boxing,0,0,0,7
2004,CAN,M,Boxing,0,0,0,5
2008,CAN,M,Boxing,0,0,0,1
2012,CAN,M,Boxing,0,0,0,2
2016,CAN,M,Boxing,0,0,0,1
2020,CAN,M,Boxing,0,0,0,1
2024,CAN,M,Boxing,1,0,0,1
2024,CAN,M,Breaking,0,1,0,1
1936,CAN,M,Canoeing,1,1,1,8
1948,CAN,M,Canoeing,1,0,1,7
1952,CAN,M,Canoeing,0,0,1,11
1956,CAN,M,Canoeing,0,0,0,9
1960,CAN,M,Canoeing,0,0,0,6
1964,CAN,M,Canoeing,0,0,0,6
1968,CAN,M,Canoeing,0,0,0,7
1972,CAN,M,Canoeing,0,0,0,10
1976,CAN,M,Canoeing,0,0,1,12
1984,CAN,M,Canoeing,1,2,1,11
1988,CAN,M,Canoeing,0,0,0,10
1992,CAN,M,Canoeing,0,0,0,11
1996,CAN,M,Canoeing,0,0,0,14
2000,CAN,M,Canoeing,1,0,0,9
2004,CAN,M,Canoeing,1,1,0,12
2008,CAN,M,Canoeing,1,0,1,15
2012,CAN,M,Canoeing,2,0,1,7
2016,CAN,M,Canoeing,0,0,0,7
2020,CAN,M,Canoeing,0,0,0,10
2024,CAN,M,Canoeing,0,0,0,6
1908,CAN,M,Cycling,1,0,0,5
1912,CAN,M,Cycling,0,0,0,2
1920,CAN,M,Cycling,0,0,0,5
1924,CAN,M,Cycling,0,0,0,1
1928,CAN,M,Cycling,0,0,0,6
1932,CAN,M,Cycling,0,0,0,7
1936,CAN,M,Cycling,0,0,0,6
1948,CAN,M,Cycling,0,0,0,6
1952,CAN,M,Cycling,0,0,0,2
1956,CAN,M,Cycling,0,0,0,3
1960,CAN,M,Cycling,0,0,0,2
1968,CAN,M,Cycling,0,0,0,6
1972,CAN,M,Cycling,0,0,0,9
1976,CAN,M,Cycling,0,0,0,11
1984,CAN,M,Cycling,0,0,2,10
1988,CAN,M,Cycling,0,0,0,7
1992,CAN,M,Cycling,1,0,0,11
1996,CAN,M,Cycling,1,0,1,9
2000,CAN,M,Cycling,0,0,0,7
2004,CAN,M,Cycling,0,0,0,5
2008,CAN,M,Cycling,0,0,0,8
2012,CAN,M,Cycling,0,0,0,6
2016,CAN,M,Cycling,0,0,0,7
2020,CAN,M,Cycling,0,0,0,12
2024,CAN,M,Cycling,0,0,0,13
1908,CAN,M,Diving,0,0,0,1
1912,CAN,M,Diving,0,0,0,2
1920,CAN,M,Diving,0,0,0,1
1928,CAN,M,Diving,0,0,0,1
1932,CAN,M,Diving,0,0,0,2
1936,CAN,M,Diving,0,0,0,1
1948,CAN,M,Diving,0,0,0,1
1956,CAN,M,Diving,0,0,0,1
1960,CAN,M,Diving,0,0,0,1
1964,CAN,M,Diving,0,0,0,1
1968,CAN,M,Diving,0,0,0,2
1972,CAN,M,Diving,0,0,0,3
1976,CAN,M,Diving,0,0,0,4
1984,CAN,M,Diving,0,0,0,4
1988,CAN,M,Diving,0,0,0,3
1992,CAN,M,Diving,0,0,0,4
1996,CAN,M,Diving,0,0,0,2
2000,CAN,M,Diving,0,0,0,3
2004,CAN,M,Diving,0,0,1,3
2008,CAN,M,Diving,0,0,1,4
2012,CAN,M,Diving,0,0,0,5
2016,CAN,M,Diving,0,0,0,3
2020,CAN,M,Diving,0,0,0,4
2024,CAN,M,Diving,1,0,0,2
1952,CAN,M,Equestrianism,0,0,0,3
1956,CAN,M,Equestrianism,1,0,0,4
1960,CAN,M,Equestrianism,0,0,0,4
1968,CAN,M,Equestrianism,0,1,0,9
1972,CAN,M,Equestrianism,0,0,0,7
1976,CAN,M,Equestrianism,0,0,1,5
1984,CAN,M,Equestrianism,0,0,0,4
1988,CAN,M,Equestrianism,0,0,0,4
1992,CAN,M,Equestrianism,0,0,0,5
1996,CAN,M,Equestrianism,0,0,0,4
2000,CAN,M,Equestrianism,0,0,0,5
2004,CAN,M,Equestrianism,0,0,0,5
2008,CAN,M,Equestrianism,0,1,1,5
2012,CAN,M,Equestrianism,0,0,0,4
2016,CAN,M,Equestrianism,1,0,0,2
2020,CAN,M,Equestrianism,0,0,0,2
2024,CAN,M,Equestrianism,0,0,0,4
1908,CAN,M,Fencing,0,0,0,1
1932,CAN,M,Fencing,0,0,0,4
1936,CAN,M,Fencing,0,0,0,5
1948,CAN,M,Fencing,0,0,0,4
1952,CAN,M,Fencing,0,0,0,2
1956,CAN,M,Fencing,0,0,0,1
1960,CAN,M,Fencing,0,0,0,1
1964,CAN,M,Fencing,0,0,0,2
1968,CAN,M,Fencing,0,0,0,4
1972,CAN,M,Fencing,0,0,0,5
1976,CAN,M,Fencing,0,0,0,9
1984,CAN,M,Fencing,0,0,0,10
1988,CAN,M,Fencing,0,0,0,13
1992,CAN,M,Fencing,0,0,0,11
1996,CAN,M,Fencing,0,0,0,7
2000,CAN,M,Fencing,0,0,0,1
2004,CAN,M,Fencing,0,0,0,2
2008,CAN,M,Fencing,0,0,0,3
2012,CAN,M,Fencing,0,0,0,2
2016,CAN,M,Fencing,0,0,0,3
2020,CAN,M,Fencing,0,0,0,6
2024,CAN,M,Fencing,0,0,0,9
1904,CAN,M,Football,0,1,0,13
1976,CAN,M,Football,0,0,0,14
1984,CAN,M,Football,0,0,0,14
1904,CAN,M,Golf,0,1,0,2
2016,CAN,M,Golf,0,0,0,2
2020,CAN,M,Golf,0,0,0,2
2024,CAN,M,Golf,0,0,0,2
1908,CAN,M,Gymnastics,0,0,0,2
1956,CAN,M,Gymnastics,0,0,0,1
1960,CAN,M,Gymnastics,0,0,0,1
1964,CAN,M,Gymnastics,0,0,0,3
1968,CAN,M,Gymnastics,0,0,0,5
1972,CAN,M,Gymnastics,0,0,0,3
1976,CAN,M,Gymnastics,0,0,0,3
1984,CAN,M,Gymnastics,0,0,0,6
1988,CAN,M,Gymnastics,0,0,0,6
1992,CAN,M,Gymnastics,0,0,0,3
1996,CAN,M,Gymnastics,0,0,0,3
2000,CAN,M,Gymnastics,1,0,0,3
2004,CAN,M,Gymnastics,0,1,0,7
2008,CAN,M,Gymnastics,0,0,1,7
2012,CAN,M,Gymnastics,0,0,0,2
2016,CAN,M,Gymnastics,0,0,0,2
2020,CAN,M,Gymnastics,0,0,0,1
2024,CAN,M,Gymnastics,0,0,0,5
1976,CAN,M,Handball,0,0,0,14
1964,CAN,M,Hockey,0,0,0,14
1976,CAN,M,Hockey,0,0,0,16
1984,CAN,M,Hockey,0,0,0,16
1988,CAN,M,Hockey,0,0,0,16
2000,CAN,M,Hockey,0,0,0,16
2008,CAN,M,Hockey,0,0,0,16
2016,CAN,M,Hockey,0,0,0,16
2020,CAN,M,Hockey,0,0,0,18
1920,CAN,M,Ice Hockey,0,1,0,8
1964,CAN,M,Judo,0,0,1,1
1972,CAN,M,Judo,0,0,0,5
1976,CAN,M,Judo,0,0,0,5
1984,CAN,M,Judo,1,0,0,8
1988,CAN,M,Judo,0,0,0,6
1992,CAN,M,Judo,1,0,0,5
1996,CAN,M,Judo,0,0,0,5
2000,CAN,M,Judo,0,0,1,2
2004,CAN,M,Judo,0,0,0,2
2008,CAN,M,Judo,0,0,0,4
2012,CAN,M,Judo,1,0,0,5
2016,CAN,M,Judo,0,0,0,4
2020,CAN,M,Judo,0,0,0,3
2024,CAN,M,Judo,0,0,0,3
2020,CAN,M,Karate,0,0,0,1
1904,CAN,M,Lacrosse,1,1,0,24
1908,CAN,M,Lacrosse,0,1,0,12
1972,CAN,M,Modern Pentathlon,0,0,0,3
1976,CAN,M,Modern Pentathlon,0,0,0,3
1988,CAN,M,Modern Pentathlon,0,0,0,3
1992,CAN,M,Modern Pentathlon,0,0,0,2
2008,CAN,M,Modern Pentathlon,0,0,0,1
1904,CAN,M,Rowing,0,0,1,9
1908,CAN,M,Rowing,3,0,0,13
1912,CAN,M,Rowing,1,0,0,10
1920,CAN,M,Rowing,0,0,0,5
1924,CAN,M,Rowing,0,0,2,14
1928,CAN,M,Rowing,1,0,1,11
1932,CAN,M,Rowing,2,0,0,16
1936,CAN,M,Rowing,0,0,0,10
1948,CAN,M,Rowing,0,0,0,11
1952,CAN,M,Rowing,0,0,0,15
1956,CAN,M,Rowing,0,1,1,13
1960,CAN,M,Rowing,0,0,1,15
1964,CAN,M,Rowing,0,1,0,16
1968,CAN,M,Rowing,0,0,0,14
1972,CAN,M,Rowing,0,0,0,16
1976,CAN,M,Rowing,0,0,0,22
1984,CAN,M,Rowing,2,1,0,30
1988,CAN,M,Rowing,0,0,0,30
1992,CAN,M,Rowing,0,1,0,17
1996,CAN,M,Rowing,0,0,2,16
2000,CAN,M,Rowing,0,0,0,18
2004,CAN,M,Rowing,0,0,1,19
2008,CAN,M,Rowing,1,1,1,18
2012,CAN,M,Rowing,0,0,1,19
2016,CAN,M,Rowing,0,0,0,12
2020,CAN,M,Rowing,0,0,0,9
2020,CAN,M,Rugby,0,0,0,13
1924,CAN,M,Sailing,0,0,0,1
1932,CAN,M,Sailing,1,0,1,13
1936,CAN,M,Sailing,0,0,0,1
1948,CAN,M,Sailing,0,0,0,5
1952,CAN,M,Sailing,0,0,0,11
1956,CAN,M,Sailing,0,0,0,8
1960,CAN,M,Sailing,0,0,0,11
1964,CAN,M,Sailing,0,0,0,11
1968,CAN,M,Sailing,0,0,0,11
1972,CAN,M,Sailing,1,0,0,14
1976,CAN,M,Sailing,0,0,0,12
1984,CAN,M,Sailing,2,0,1,13
1988,CAN,M,Sailing,1,0,0,13
1992,CAN,M,Sailing,1,0,0,12
1996,CAN,M,Sailing,0,0,0,11
2000,CAN,M,Sailing,0,0,0,7
2004,CAN,M,Sailing,0,0,1,6
2008,CAN,M,Sailing,0,0,0,9
2012,CAN,M,Sailing,0,0,0,9
2016,CAN,M,Sailing,0,0,0,5
2020,CAN,M,Sailing,0,0,0,5
2024,CAN,M,Sailing,0,0,0,2
1908,CAN,M,Shooting,1,1,2,22
1912,CAN,M,Shooting,0,0,0,3
1920,CAN,M,Shooting,0,0,0,7
1924,CAN,M,Shooting,0,0,1,6
1952,CAN,M,Shooting,0,1,0,4
1956,CAN,M,Shooting,1,1,0,5
1960,CAN,M,Shooting,0,0,0,7
1964,CAN,M,Shooting,0,0,0,6
1968,CAN,M,Shooting,0,0,0,10
1972,CAN,M,Shooting,0,0,0,10
1976,CAN,M,Shooting,0,0,0,10
1984,CAN,M,Shooting,0,0,0,13
1988,CAN,M,Shooting,0,0,0,10
1992,CAN,M,Shooting,0,0,0,8
1996,CAN,M,Shooting,0,0,0,8
2000,CAN,M,Shooting,0,0,0,4
2008,CAN,M,Shooting,0,0,0,2
2012,CAN,M,Shooting,0,0,0,1
2024,CAN,M,Shooting,0,0,0,2
2020,CAN,M,Skateboarding,0,0,0,3
2024,CAN,M,Skateboarding,0,0,0,3
2020,CAN,M,Sport Climbing,0,0,0,1
1908,CAN,M,Swimming,0,0,0,1
1912,CAN,M,Swimming,0,2,0,1
1920,CAN,M,Swimming,1,0,1,3
1924,CAN,M,Swimming,0,0,0,2
1928,CAN,M,Swimming,1,0,0,5
1932,CAN,M,Swimming,0,0,0,7
1936,CAN,M,Swimming,0,0,0,8
1948,CAN,M,Swimming,0,0,0,5
1952,CAN,M,Swimming,0,0,0,5
1956,CAN,M,Swimming,0,0,0,2
1960,CAN,M,Swimming,0,0,0,4
1964,CAN,M,Swimming,0,0,0,4
1968,CAN,M,Swimming,0,0,1,9
1972,CAN,M,Swimming,1,0,1,18
1976,CAN,M,Swimming,0,0,1,20
